words,em,light,sound,properties
electromagnetic,2.941196581196582,0.023568083852761493,0.0,0.04428007889546349
electronic,4.0,0.0,0.0,0.0
wave,0.0,0.0,0.04073450197934695,1.0840891873630762
radiation,1.115897435897436,0.8645269327379289,0.0,0.0
diagram,0.0,0.9230626104753926,0.0,0.14086327993457465
ultraviolet,0.8074928774928773,0.4551121034514837,0.0,0.0
television,3.4166666666666674,0.0,0.0,0.0
sensor,3.2884615384615388,0.0,0.0,0.0
device,3.280769230769231,0.0,0.0,0.0
microwave,1.4053254437869824,0.005896791830367016,0.0,0.05883022303140646
light,0.04130818676273222,0.44847223920118684,0.0,0.0
spectrum,0.6358722976370036,0.9159593505278192,0.0,0.0
alarm,0.6113247863247864,0.0,0.2797761790567545,0.0
transmit,2.7974358974358977,0.0,0.0,0.0
radio,1.400482492417976,0.0,0.0,0.28373735445695747
detect,1.5352564102564101,0.0,0.2541966426858512,0.0
scanner,2.741025641025641,0.0,0.0,0.0
frequency,0.04999414588455682,0.0,0.5939942110238746,0.04354110939990806
type,0.058430458430458326,0.0,0.10109084449612028,0.0
terrestrial,2.6743589743589746,0.0,0.0,0.0
list,0.6618233618233618,0.0,0.0,0.8645627876397106
remote,2.5705128205128207,0.0,0.0,0.0
radiate,0.8275641025641026,0.0,0.0,1.0702662721893492
vacuum,0.7294871794871794,0.0,0.7054673721340387,0.0
refract,0.0,1.0820541445715883,0.0,0.03274983563445097
arrange,2.4320512820512823,0.0,0.0,0.0
satellite,2.3884615384615384,0.0,0.0,0.0
diffract,0.0,0.0,0.40240400272374677,0.7998027613412231
table,0.4375,0.0,0.550759392486011,0.0
amplitude,0.0,0.0,1.3121986361528057,0.07039228577690124
engineer,0.5253561253561253,0.0,0.6840157503626727,0.0
sound,0.0,0.0,1.7847996112913593,0.017213262688375818
region,0.3864468864468865,0.0,0.0,0.2419695688926458
transverse,0.13029439696106362,0.0,0.3913774330329973,0.21758346117320462
longitudinal,0.0,0.0,0.4862480386061521,0.1865183724158082
security,2.075641025641026,0.0,0.0,0.0
communication,2.067948717948718,0.0,0.0,0.0
violet,0.16828316610925304,1.0636378712681058,0.0,0.0
reflect,0.0,0.6019536701088471,0.0,0.11055226824457576
visible,0.3295625942684765,0.15791345843388988,0.0,0.0
water,0.012626262626262617,0.0,0.0,1.0995158687466378
surrounding,1.8884615384615384,0.0,0.0,0.0
row,0.0,0.1037789561819705,0.0,0.273293885601578
house,0.3952991452991452,0.0,0.0,1.4718934911242605
ray,0.0,0.6451522872345214,0.0,0.0
earth,1.821794871794872,0.0,0.0,0.0
travel,0.01599117728149984,0.0,0.0,0.2547559966914806
order,0.2153846153846152,0.1112661642943529,0.0,0.2430966469428008
receive,0.2631868131868133,0.0,0.07810894141829383,0.11136939983093827
picture,1.576923076923077,0.0,0.0,0.0
nature,0.057606837606837435,0.0,0.392930100364153,0.1409270216962524
red,0.21075772518080205,0.5673157431460529,0.0,0.0
use,0.22483974358974357,0.0,0.0,0.0
infra,0.8366987179487179,0.0,0.0,0.04117357001972385
identify,1.4307692307692308,0.0,0.0,0.0
barrier,0.1458791208791209,0.0,0.0,1.4803817976894902
eye,0.03671652421652416,1.6629453902688622,0.0,0.0
contain,0.15940170940170934,0.08819425062796533,0.0,0.1655161078238001
controller,1.264102564102564,0.0,0.0,0.0
correctly,0.0,0.2841504636090178,0.0,0.0
airport,1.246153846153846,0.0,0.0,0.0
tank,0.1804487179487179,0.0,0.0,0.978180473372781
label,0.0441239316239316,0.1232905386547584,0.0,0.21791789940828404
deep,0.008028083028083,0.010499315550948256,0.0,1.0849535080304313
differ,1.0653846153846152,0.0,0.0,0.0
change,0.0,0.0,0.21523977399277158,0.009824002427552707
purpose,1.028205128205128,0.0,0.0,0.0
increase,0.004558404558404533,0.0,0.22271565463678425,0.0
human,0.022051282051282,0.0,1.5057820410338394,0.0
common,0.878205128205128,0.0,0.0,0.0
check,0.8666666666666664,0.0,0.0,0.0
warm,0.17264957264957265,0.0,0.0,0.5746219592373437
make,0.0,0.05276378218781671,0.03429303340952956,0.08097165991902822
correct,0.016714150047483375,0.3676621081030792,0.0,0.0
group,0.7294871794871792,0.0,0.0,0.0
ultra,0.582051282051282,0.0,0.0,0.0
statement,0.0,0.0,0.12056055638580922,0.0
shallow,0.001388888888888875,0.0,0.0,0.9439102564102565
speed,0.0,0.0,0.5155381867345626,0.11111111111111106
miss,0.273076923076923,0.0,0.0,0.0
reach,0.0,0.0,0.1725829213172671,0.15724304185842625
hill,0.0,0.0,0.0,1.01232741617357
word,0.2474358974358972,0.0,0.0,0.0
different,0.0,0.0,0.6769029221067591,0.0
small,0.0,0.0,0.2667096297122507,0.0
able,0.018162393162393,0.0,0.0968114397370992,0.0
intruder,0.114102564102564,0.0,0.0,0.0
low,0.00763888888888885,0.0,0.012412292388311399,0.0
represent,0.002429149797570821,0.0,0.0,0.0
high,0.0,0.0,0.26883591166282655,0.0
cause,0.0,0.021521381833969,0.10267341682209787,0.0
approximately,0.0,0.0,0.0,0.0
drop,0.0,0.0,0.0,0.0
typical,0.0,0.0,0.1310951239008792,0.0
appear,0.0,0.0,0.0,1.2292899408284024
tuning,0.0,0.0,2.38529176658673,0.0
top,0.0,0.0,0.0,0.0
echo,0.0,0.0,2.7370103916866504,0.0
fire,0.0,0.0,0.0,0.0
tennis,0.0,0.0,1.1446842525979215,0.0
thin,0.0,0.0,0.0,0.0
sounder,0.0,0.0,2.471622701838529,0.0
refraction,0.0,0.8975914528156842,0.025523440896405535,0.7845686701962006
nearby,0.0,0.0,0.204636290967226,0.0
give,0.0,0.0,0.0,0.0
internal,0.0,0.311949284318807,0.4441906792026694,0.0
wish,0.0,0.0,0.6810551558752996,0.0
route,0.0,0.0,1.13935518252065,0.0
throw,0.0,0.0,0.0,0.911242603550296
particle,0.0,0.0,2.2019717559285903,0.0
bell,0.0,0.0,1.224620303756994,0.0
hold,0.0,0.0,0.0,0.0
beam,0.0,1.9960926597823052,0.0,0.0
reflection,0.0,0.8042741517483353,0.0,0.40134544942237244
depth,0.0,0.10196297329984183,0.5120170530242469,0.22228796844181464
however,0.0,0.0,0.0,0.0
hand,0.0,0.0,1.1628030908606448,0.0
difference,0.0,0.0,1.0242472688515851,0.0
space,0.0,0.0,1.5496935784705568,0.0
control,0.0,0.0,1.3759658939515051,0.0
strike,0.0,0.0,0.0,0.1094674556213016
vary,0.0,0.0,0.0,1.5399408284023668
approach,0.0,0.0,0.0,1.7958579881656804
aa,0.0,0.7658386826681548,0.0,0.0
backwards,0.0,3.0432598381244773,0.0,0.0
gradually,0.0,0.0,2.039968025579536,0.0
object,0.0,1.508707786770862,0.09685584865440978,0.0
player,0.0,0.0,0.0,0.0
gap,0.0,0.0,0.0,0.7662721893491125
pass,0.0,0.24842727952239335,0.0031606898389334474,0.0
lower,0.0,0.0,0.7428723687716492,0.0
cool,0.0,0.0,0.0,0.43491124260355
big,0.0,0.0,0.0,0.0
stop,0.0,0.0,0.738609112709832,0.0
converge,0.0,0.7022048562656988,0.0,0.0
describe,0.0,0.0,0.0,0.0
trumpet,0.0,0.0,0.0,1.7396449704142012
estimate,0.0,0.0,0.5872635225153208,0.0
people,0.0,0.0,1.1691979749533703,0.0
rarefaction,0.0,0.0,1.269384492406075,0.0
less,0.0,0.0,0.0,0.0
demonstrate,0.0,1.9826960647502097,0.0,0.0
measurement,0.0,0.0,2.6560085265121236,0.0
camera,0.0,1.9391571308958973,0.0,0.0
incidence,0.0,1.6522467206251743,0.0,0.0
angle,0.0,1.4560424225509347,0.045989874766853185,0.0
scout,0.0,0.0614010605637732,0.0,0.0
escape,0.0,0.0,0.232347455369038,0.0
rubber,0.0,0.0,0.3304023447908336,0.0
scientist,0.0,0.0,3.071675992539302,0.0
towards,0.0,0.0,0.0,0.0
ball,0.0,0.0,0.7833733013589124,0.0
likely,0.0,0.0,0.0,0.0
various,0.0,0.6620150711694112,0.0,0.0
pulse,0.0,0.0,2.479083399946709,0.0
pistol,0.0,0.0,0.591526778577138,0.0
include,0.0,0.0,0.8206767918998132,0.0
converging,0.0,0.9511582472788164,0.0,0.0
long,0.0,0.0,0.773780975219824,0.0
projector,0.0,2.6849009210159087,0.0,0.0
narrow,0.0,0.1529444599497628,0.0,0.173076923076923
mirror,0.0,2.5375383756628525,0.0,0.0
crest,0.0,0.0,0.0,0.9289940828402364
lens,0.0,2.8155177225788446,0.0,0.0
refractive,0.0,4.0,0.0,0.0
musical,0.0,0.0,2.4193978150812683,0.0
length,0.0,0.7109963717555119,0.08006927791100454,0.0
fast,0.0,0.0,0.0,0.4763313609467452
whether,0.0,0.0,0.0,0.0
notice,0.0,0.0,0.0,1.6775147928994083
separate,0.0,0.5079542283003068,0.0,0.0
define,0.0,0.0,0.0,0.0
indicate,0.0,0.0,2.312816413535838,0.0
candle,0.0,0.36840636338264005,0.44045751053478194,0.0
machine,0.0,0.0,1.8459898747668528,0.0
optical,0.0,3.9709740440971246,0.0,0.0
wear,0.0,0.3137036003349148,0.0,0.0
listen,0.0,0.0,2.4609645616839857,0.0
quieter,0.0,0.0,2.832889244160227,0.0
series,0.0,0.0,0.7311484146016516,0.0
compare,0.0,0.34595466244922,1.2659502028007221,0.0
certain,0.0,0.19116728466435404,0.023853932726834285,0.0
example,0.0,0.0,0.0,3.2218934911242605
rod,0.0,0.8261233603125872,0.0,0.0
slit,0.0,3.2520234440413063,0.0,0.0
nothing,0.0,0.0,0.0,0.0
invert,0.0,3.085682389059447,0.0,0.0
approximate,0.0,0.0,1.15427657873701,0.0
note,0.0,0.0,1.920596855848654,0.0
diffraction,0.0,0.2025727551823003,0.04314931892869541,1.857450242065627
experiment,0.0,0.0,2.8958166799893412,0.0
fork,0.0,0.0,0.5307753796962428,0.0
slightly,0.0,0.0,0.0,0.2307692307692304
sea,0.0,0.0,0.061772803979038754,0.3403599605522683
height,0.0,0.0,1.4090061284305888,0.0
hearing,0.0,0.0,3.927524646949107,0.0
building,0.0,0.0,0.9933386624034104,0.0
happen,0.0,0.002093217973765,0.0,0.0
signal,0.0,2.0206530840078143,0.0,0.0
pitch,0.0,0.0,1.7053579358735231,0.0
slowly,0.0,0.0,0.0,0.28698224852071
one,0.0,0.0,0.0,0.0
value,0.0,0.0,0.0,0.0
illustrate,0.0,0.0,0.0,3.550295857988166
prism,0.0,2.8512419759977674,0.0,0.0
time,0.0,0.008201693180760992,0.13159250377475776,0.028639053254437826
range,0.0,0.0,2.520650146549427,0.0
enlarge,0.0,1.9603684063633828,0.0,0.0
hard,0.0,0.0,0.0,0.0
man,0.0,0.0,0.3964828137490004,0.0
vibrate,0.0,0.0,2.2211564082067676,0.0
piece,0.0,0.4532514652525816,0.0,0.0
eight,0.0,0.0,0.0,0.0
dense,0.0,0.7390454926039628,0.0,0.0
girl,0.0,0.0,0.2760458300026644,0.0
white,0.0,0.9422271839240856,0.0,0.0
back,0.0,0.0,0.0,0.0
always,0.0,0.0,0.0,0.0
along,0.0,0.0,0.0,0.0
slow,0.0,0.0,0.0,0.3269230769230768
size,0.0,0.0,0.6586730615507592,0.0
flame,0.0,0.0,1.6200373034905404,0.0
today,0.0,0.0,0.0,0.0
letter,0.0,1.5607033212391848,0.0,0.0
vibration,0.0,0.0,2.1660182964739314,0.367751479289941
stone,0.0,0.0,0.0,1.0857988165680472
emerge,0.0,0.0,0.0,0.0
place,0.0,0.0,0.08171240785149653,0.1430528161297392
per,0.0,0.0,0.0,0.0
direct,0.0,0.0,0.8249400479616305,0.0
due,0.0,0.0,0.0,0.0
name,0.0,0.0,0.0,0.0
compression,0.0,0.0,2.541966426858513,0.0
behave,0.0,0.194250627965392,0.0,0.0
may,0.0,0.0,0.0,0.0
property,0.0,0.0,0.47748467892352764,0.30848126232741624
calculate,0.0,0.8529165503767792,0.3296918021138644,0.0
enlarged,0.0,1.5573541724811613,0.0,0.0
singer,0.0,0.0,1.744737543298694,0.0
ear,0.0,0.0,2.738076205702105,0.0
plan,0.0,0.0,0.5190514255262456,0.0
occur,0.0,1.3106335473067263,0.0,0.0
directly,0.0,0.0,0.3996802557953636,0.0
oven,0.0,0.0,0.0,1.1139053254437872
insect,0.0,0.0,1.2256861177724487,0.0
reason,0.0,0.0,0.4551025845989872,0.0
boy,0.0,0.02590008372871888,0.0,0.09546351084812608
dispersion,0.0,0.3349148758024003,0.13216093791633363,0.6360946745562128
circular,0.0,0.87022048562657,0.0,0.7596153846153846
sided,0.0,1.7058331007535583,0.0,0.0
move,0.0,0.0,0.0,0.0
try,0.0,0.0,0.4124700239808152,0.0
particular,0.0,0.0,0.0,1.3491124260355032
thermometer,0.0,2.2684900921015907,0.0,0.0
box,0.0,1.2034607870499583,0.0,0.0
undergo,0.0,0.9835333519397153,0.0,0.0
second,0.0,0.026178370485424304,0.0,0.0
arrow,0.0,0.8808261233603126,0.0,0.6089743589743588
constant,0.0,0.1194529723695224,0.0,0.0
astronaut,0.0,0.0,0.6075139888089528,0.0
spring,0.0,0.0,0.6032507327471356,0.0
side,0.0,0.0,0.0,0.0
start,0.0,0.0,0.1023181454836128,0.0
enough,0.0,0.0,0.0,0.0
become,0.0,0.0,0.0,0.0
land,0.0,0.0,0.0,1.5216962524654831
sing,0.0,0.0,2.0165201172395415,0.0
quiet,0.0,0.0,2.5547561950439643,0.0
movement,0.0,0.0,1.3952689700091776,0.6402038132807362
blow,0.0,0.0,1.0562216893152143,0.0
hit,0.0,0.0,0.2896645646445805,0.0
alternately,0.0,0.0,2.025046629363176,0.0
teacher,0.0,0.257884454367848,0.0,0.0
screen,0.0,1.8799888361708064,0.0,0.0
circle,0.0,0.0,0.0,1.9452662721893492
total,0.0,0.24225509349706936,0.3189321558626114,0.0
continue,0.0,0.935528886408038,0.0,0.0
also,0.0,0.0,0.0,0.0
upside,0.0,1.239185040468881,0.0,0.0
car,0.0,0.0,1.3024247268851583,0.0
pattern,0.0,0.0,2.482280841993072,0.0
cathode,0.0,0.0,0.9453770317079668,0.0
fit,0.0,0.6017303935249791,0.0,0.0
mark,0.0,0.0,0.3423039346300736,0.0
rope,0.0,0.0,0.0,1.7292899408284024
focus,0.0,1.2972369522746303,0.0,0.0
effect,0.0,0.028932923992929564,0.4809189685288805,0.1786242603550295
ship,0.0,0.0,0.9794830802025044,0.0
valley,0.0,0.0,0.7486277644551025,0.0
many,0.0,0.0,0.0,0.0
point,0.0,0.18794063755172374,0.12925698088871895,0.0
real,0.0,0.0,0.0,0.0
jar,0.0,0.0,1.0508926192379424,0.0
last,0.0,0.0,0.0,0.0
right,0.0,0.7401618755233044,0.0,0.0
edge,0.0,0.4967903991068936,0.0,0.0
another,0.0,0.0,0.0,0.0
halve,0.0,0.0,0.0,0.5236686390532544
audible,0.0,0.0,2.049560351718625,0.0
path,0.0,1.8956181970415855,0.0,0.0
monochromatic,0.0,3.5634942785375383,0.0,0.0
leave,0.0,0.040189785096288,0.0,0.0
healthy,0.0,0.0,1.0381028510524912,0.0
steady,0.0,0.0,0.9890754063415932,0.0
cupboard,0.0,0.0,0.0,2.2159763313609466
distance,0.0,0.0,0.3083186783906208,0.5746745562130178
away,0.0,0.0,0.12695029161855678,0.08678500986193294
wall,0.0,0.009472339921684,0.0,1.2331002331002336
parallel,0.0,1.4031870074292623,0.0,0.28895463510848124
continuous,0.0,0.0,1.8726352251532103,0.0
lot,0.0,0.0,0.0,0.0
opposite,0.0,0.6173597543957576,0.3421262989608312,0.0
three,0.0,0.0,0.0,0.0
equation,0.0,0.0,1.2907007727151611,0.0
fifth,0.0,0.0,0.8750333066879828,0.0
shape,0.0,0.0,0.8643751665334396,1.2687376725838266
forwards,0.0,2.298632430923807,0.0,0.0
clock,0.0,0.9746022885849848,0.0,0.0
principal,0.0,0.0859614847892824,0.0,0.0
shout,0.0,0.0,1.944044764188649,0.0
source,0.0,0.0,1.0871302957633888,0.0
four,0.0,0.0,0.0,0.0
front,0.0,0.0,0.0,0.0
critical,0.0,0.9578565447948644,0.0,0.0
medium,0.0,0.0,0.9869437783106844,0.0
air,0.0,0.0,0.4869470277436587,0.15105594842930672
near,0.0,0.0,0.1012523314681584,0.0
diminish,0.0,1.4479486463857103,0.0,0.0
heater,0.0,0.0,0.0,4.0
apart,0.0,0.0,0.0,0.6420118343195264
first,0.0,0.0,0.0,0.0
full,0.0,0.0,0.0,0.0
width,0.0,0.0,1.5145217159605648,0.0
absorb,0.0,0.6270350730300494,0.8530064837019272,0.0
focal,0.0,2.102149037119732,0.0,0.0
find,0.0,0.0,0.0,0.0
result,0.0,0.0,1.456967759126032,0.0
close,0.0,0.6095450739603684,0.0,0.0
floor,0.0,0.0,0.0,2.076923076923077
oscilloscope,0.0,0.0,2.0474287236877164,0.0
decrease,0.0,0.049492976090799,0.3213429256594723,0.0
student,0.0,0.09408063329358327,0.5051312485365242,0.0
friend,0.0,0.0,0.4284572342126296,0.0
loudness,0.0,0.0,4.0,0.0
unit,0.0,0.0,0.0,1.1863905325443784
enter,0.0,0.7504574068905633,0.0,0.185733070348455
calculation,0.0,0.0,1.4239275246469487,0.0
fall,0.0,0.0290259559028744,0.0,0.0
loud,0.0,0.0,2.8052224886757258,0.0
density,0.0,1.5182807703042145,0.0,0.0
emit,0.0,0.0,2.3725019984012787,0.0
identical,0.0,1.7460228858498468,0.0,0.0
produce,0.0,0.0,0.47053715052649214,0.01731317115932499
microphone,0.0,0.0,2.928856914468425,0.0
vibrating,0.0,0.0,3.045030642152944,0.0
short,0.0,0.0,0.9677591260325072,0.0
yes,0.0,0.3594753000279092,0.0,0.0
characteristic,0.0,1.3162154619034327,0.0,0.0
clap,0.0,0.0,1.0562216893152143,0.0
six,0.0,0.0,0.0,0.0
motion,0.0,0.0,2.8414601652011724,0.0
incident,0.0,0.6776444320401896,0.0,0.0
triangular,0.0,3.5947530002790957,0.0,0.0
lamp,0.0,1.2123918504046884,0.0,0.3450032873109796
displacement,0.0,0.0,0.6048357894880675,2.0458579881656807
curve,0.0,0.1441728798692237,0.0,1.565511411665258
mean,0.0,0.0,0.472155608846256,0.0
fourth,0.0,0.0,0.7226219024780172,0.0
emergency,0.0,0.0,0.8846256328270716,0.0
vertical,0.0,0.0,0.0,3.5517751479289945
bed,0.0,0.0,0.3197442046362908,0.0
band,0.0,0.0,1.2533972821742605,0.0
surface,0.0,0.4303656154060842,0.0,1.2438362919132149
substance,0.0,0.8596148478928268,0.0,0.09471938318092167
would,0.0,0.0,0.0,0.0
must,0.0,0.0,0.0,0.0
pond,0.0,0.0,0.0,2.7677514792899407
transfer,0.0,0.0,0.9176658673061548,0.0
material,0.0,0.0,1.6083133493205433,0.0
bat,0.0,0.0,1.0391686650679453,0.0
direction,0.0,0.2057865847985859,0.1804778399502619,1.4240631163708086
number,0.0,0.0,0.0552446931343812,0.2236193293885602
volcano,0.0,0.0,1.0317079669597653,0.0
large,0.0,0.0,0.647482014388489,0.0
climber,0.0,0.0,0.9421795896616036,0.0
line,0.0,0.0,0.0,2.3639053254437874
every,0.0,0.0,0.0,0.0
disperse,0.0,1.5071169411108012,0.0,0.0
cliff,0.0,0.0,0.0,0.0
magnify,0.0,2.469439017583031,0.0,0.0
sin,0.0,0.7546748534747416,0.0,0.0
hear,0.0,0.0,2.416200373034905,0.0
explain,0.0,0.0,1.455901945110578,0.0
view,0.0,0.0,0.0,2.1213017751479293
axis,0.0,2.1802958414736255,0.0,0.0
ripple,0.0,0.0,0.0,2.560650887573965
higher,0.0,0.0,0.4071409539035436,0.0
index,0.0,0.9176667596985764,0.0,0.0
protect,0.0,0.0,0.0,0.1114398422090728
smaller,0.0,0.0,1.1009858779642951,0.0
minute,0.0,0.0,0.0,0.0
temperature,0.0,0.4695506558749651,0.0,0.4913214990138068
normal,0.0,0.072099730207461,0.26618705035971213,0.0
shirt,0.0,0.4499023164945576,0.0,0.0
person,0.0,0.0,0.964561683986144,0.0
form,0.0,1.5026514094334356,0.0,0.0
clapping,0.0,0.0,1.5784705568878228,0.0
solid,0.0,0.0,0.2664535038635756,0.0
block,0.0,0.3336970035267549,0.16084102415037652,0.0
image,0.0,2.4147362545353057,0.0,0.0
energy,0.0,0.0,2.1817212896349583,0.0
yellow,0.0,1.4937203460787047,0.0,0.0
two,0.0,0.0,0.0,0.0
ring,0.0,0.0,0.288835598188116,0.0
third,0.0,0.0,0.0,0.0
harbour,0.0,0.0,0.0,1.5883714947260097
whistle,0.0,0.0,1.990940580868638,0.0
remain,0.0,0.0,0.0,0.0532544378698224
fix,0.0,0.0,0.0,1.0399408284023668
bottom,0.0,0.0,0.0,0.0
scale,0.0,0.00279095729835335,0.9769961808331112,0.019723865877712
police,0.0,0.0,0.4551025845989872,0.0
show,0.0,0.0,0.0,0.0
colour,0.0,2.8411945297236954,0.0,0.0
allow,0.0,0.7747697460228856,0.0,0.0
orbit,0.0,0.0,0.724753530508926,0.0
rise,0.0,0.499023164945576,0.0,0.0
erupt,0.0,0.0,0.682120969890754,0.0
set,0.0,0.0,0.2387423394617636,0.0
part,0.0,0.0,0.0,0.0
position,0.0,0.40520565220537286,0.0,0.19575936883629186
boat,0.0,0.0,0.0,1.3594031386673529
double,0.0,0.0,0.0,0.7988165680473372
upright,0.0,1.0181412224392967,0.0,0.0
formula,0.0,1.9927435110242813,0.0,0.0
state,0.0,0.1295004186435946,0.0795807798205878,0.0
molecule,0.0,0.0,2.55369038102851,0.0
pump,0.0,0.0,0.9485744737543296,0.0
semicircular,0.0,2.548702204856266,0.0,0.0
perpendicular,0.0,0.0,0.0,3.7100591715976337
boundary,0.0,0.9902316494557633,0.0,0.0
round,0.0,0.12429063168666848,0.0,0.4568047337278106
need,0.0,0.0,0.6949107380762056,0.0
laterally,0.0,2.6089868825006977,0.0,0.0
sharp,0.0,0.0,0.7684519051425523,0.0
quickly,0.0,0.0,0.0,0.9822485207100592
virtual,0.0,0.9612056935528884,0.0,0.0
inside,0.0,1.1777839799051075,0.0,0.0
could,0.0,0.0,0.0,0.0
sixth,0.0,0.0,0.648014921396216,0.0
sun,0.0,2.0708903153781746,0.0,0.0
semi,0.0,0.5894501814122244,0.0,0.0
good,0.0,0.0,0.0532907007727148,0.0
dip,0.0,0.0,0.0,1.7292899408284024
combination,0.0,0.0,1.6498800959232611,0.0
spectator,0.0,0.0,1.318411937116973,0.0
pressure,0.0,0.0,0.8558486544098052,0.0
come,0.0,0.0,0.0,0.1789940828402364
stick,0.0,0.0,0.0,0.7263313609467456
draw,0.0,0.9062902861395743,0.0,0.434065934065934
far,0.0,0.0,0.5260857980282438,0.10246548323471401
liquid,0.0,0.0,1.2672528643751664,0.0
pool,0.0,0.0,0.0,1.6316568047337277
spread,0.0,0.0,0.0,1.2041420118343196
flash,0.0,0.0,1.1894484412470023,0.0
siren,0.0,0.0,0.7226219024780172,0.0
take,0.0,0.0,0.0,0.0
adjust,0.0,0.0,1.6829203304023443,0.0
great,0.0,0.244413433807796,0.0,0.0
hertz,0.0,0.0,0.1826094679811704,0.930473372781065
later,0.0,0.0,0.0,0.0
see,0.0,0.0,0.0,0.0
stand,0.0,0.0,0.3301358912869704,0.0
film,0.0,1.2280212112754676,0.0,0.0
information,0.0,0.0,2.0122568611777245,0.0
glass,0.0,2.075268753352612,0.016894285989647997,0.0
plane,0.0,0.9588931860771099,0.0,0.14634404057480982
measure,0.0,0.0,0.683491302196338,0.45224006762468294
